ID,Data,Produto,Categoria,Quantidade,Preco
1,2023-01-31,Monitor Cardiaco,Eletronicos,28,353.0
2,2023-07-07,Mochila,Acessorios,34,120.0
3,2023-06-21,Bicicleta,Equipamento Esportivo,45,2450.0
4,2023-01-31,Mochila,Acessorios,25,120.0
5,2023-05-15,Cantil,Acessorios,38,35.0
6,2023-10-12,Multi-vitaminico,Suplemento,39,89.9
7,2023-09-12,Calca,Vestuario,41,246.0
8,2023-02-28,Creatina,Suplemento,25,139.9
9,2023-10-22,Monitor Cardiaco,Eletronicos,12,353.0
10,2023-03-23,Camiseta,Vestuario,50,79.9
11,2023-02-23,Tenis,Vestuario,42,299.99
12,2023-06-29,Cantil,Acessorios,9,35.0
13,2023-10-06,Calca,Vestuario,12,246.0
14,2023-01-16,Bicicleta,Equipamento Esportivo,34,2450.0
15,2023-02-20,Barraca de Camping,Lazer,3,680.0
16,2023-04-27,Calca,Vestuario,12,246.0
17,2023-04-18,Meias,Vestuario,25,19.9
18,2023-01-20,Barraca de Camping,Lazer,50,680.0
19,2023-12-07,Luvas,Acessorios,45,97.0
20,2023-12-03,Mochila,Acessorios,5,120.0
21,2023-07-30,Mini Trampolim,Equipamento Esportivo,35,350.0
22,2023-02-05,Livro de Receitas Fitnes,Educacao,12,65.0
23,2023-10-15,Relogio Inteligente,Eletronicos,3,899.9
24,2023-06-12,Tenis,Vestuario,35,299.99
25,2023-04-27,Cantil,Acessorios,44,35.0
26,2023-05-14,Barrinha de Cereal,Alimentos,14,4.5
27,2023-09-09,Camiseta,Vestuario,19,79.9
28,2023-06-11,Creatina,Suplemento,41,139.9
29,2023-08-27,Barraca de Camping,Lazer,18,680.0
30,2023-04-14,Mochila,Acessorios,15,120.0
31,2023-12-30,Meias,Vestuario,37,19.9
32,2023-06-03,Cantil,Acessorios,23,35.0
33,2023-07-07,Luvas,Acessorios,6,97.0
34,2023-03-20,Multi-vitaminico,Suplemento,45,89.9
35,2023-08-26,Camiseta,Vestuario,18,79.9
36,2023-12-07,Cantil,Acessorios,27,35.0
37,2023-10-19,Tenis,Vestuario,43,299.99
38,2023-03-19,Camiseta,Vestuario,45,79.9
39,2023-03-19,Camiseta,Vestuario,19,79.9
40,2023-11-22,Livro de Receitas Fitnes,Educacao,30,65.0
41,2023-11-27,Luvas,Acessorios,32,97.0
42,2023-10-22,Camiseta,Vestuario,1,79.9
43,2023-03-17,Cantil,Acessorios,24,35.0
44,2023-02-08,Meias,Vestuario,42,19.9
45,2023-01-10,Camiseta,Vestuario,15,79.9
46,2023-10-29,Camiseta,Vestuario,6,79.9
47,2023-01-21,Luvas,Acessorios,42,97.0
48,2023-01-06,Luvas,Acessorios,34,97.0
49,2023-04-15,Cantil,Acessorios,24,35.0
